family,topo_name,size_param,tpattern,n_servers,n_switches,switch_radix,n_links,path_mean,path_std,path_max,hop_mean,hop_std,flows_link_mean,flows_link_std,flows_link_max,flows_bottleneck,flows_over_mean,p_flows_connected
MegaFly,megafly_8,8,alltoone,272.0,136.0,8.0,1360.0,4.904412,0.476436,5.0,0.996324,0.060634,0.9808819999999999,8.3888,271.0,272.0,75425.967016,100.0
MegaFly,megafly_8,8,hotregion_10,272.0,136.0,8.0,1360.0,4.933333333333334,0.14054566666666665,5.0,1.0,0.0,0.03627466666666667,0.18958566666666665,1.3333333333333333,61426.666666666664,2040314.3111110001,100.0
MegaFly,megafly_8,8,hotregion_100,272.0,136.0,8.0,1360.0,4.89,0.5009226666666667,5.0,0.9933333333333333,0.06666666666666667,0.35955899999999996,0.64433,4.666666666666667,15970.933333333334,205783.92705833333,100.0
MegaFly,megafly_8,8,hotregion_500,272.0,136.0,8.0,1360.0,4.8886666666666665,0.5308533333333333,5.0,0.9940000000000001,0.07387433333333333,1.7973036666666669,1.6661166666666667,10.333333333333334,7147.830303,41164.80159533333,100.0
MegaFly,megafly_8,8,onetoall,272.0,136.0,8.0,1360.0,4.904412,0.476436,5.0,0.996324,0.060634,0.9808819999999999,8.384589,271.0,272.0,75425.967016,100.0
MegaFly,megafly_8,8,random_10000,272.0,136.0,8.0,1360.0,4.9031666666666665,0.481254,5.0,0.9963000000000001,0.06069133333333334,36.052696,6.243815666666666,58.333333333333336,1264.2076223333333,2052.107881,100.0
MegaFly,megafly_8,8,random_100000,272.0,136.0,8.0,1360.0,4.902170000000001,0.48274733333333336,5.0,0.9962166666666666,0.06138933333333333,360.4536763333333,24.575348333333334,453.3333333333333,162.60017566666667,205.252477,100.0
MegaFly,megafly_8,8,random_5000,272.0,136.0,8.0,1360.0,4.902266666666667,0.48332899999999995,5.0,0.9962666666666666,0.060678,18.023039333333333,4.3311416666666664,34.333333333333336,2157.6391879999996,4104.968303333334,100.0
MegaFly,megafly_8,8,random_50000,272.0,136.0,8.0,1360.0,4.901746666666667,0.48315033333333335,5.0,0.9962933333333334,0.060759,180.21127433333334,15.388321333333332,247.0,298.72677433333337,410.54043733333333,100.0
MegaFly,megafly_8,8,shift_1,272.0,136.0,8.0,1360.0,2.5625,0.999885,5.0,1.0,0.0,0.5125,0.500028,1.0,73712.0,144359.02439,100.0
MegaFly,megafly_8,8,shift_10,272.0,136.0,8.0,1360.0,4.625,0.485015,5.0,1.0,0.0,0.9250000000000002,1.463902,10.0,7371.2,79982.702703,100.0
MegaFly,megafly_8,8,shift_100,272.0,136.0,8.0,1360.0,5.0,0.0,5.0,1.0,0.0,1.0,1.7326880000000002,12.0,6142.666667,73984.0,100.0
SlimFly,slimfly_13,13,alltoone,3380.0,338.0,29.0,13182.0,3.9372780000000005,0.260161,4.0,0.999704,0.017201,1.009558,30.228397333333334,3379.0,3380.0,11316233.904418,100.0
SlimFly,slimfly_13,13,hotregion_10,3380.0,338.0,29.0,13182.0,3.9,0.245955,4.0,1.0,0.0,0.0029586666666666667,0.05431133333333333,1.0,11421020.0,3863140817.192982,100.0
SlimFly,slimfly_13,13,hotregion_100,3380.0,338.0,29.0,13182.0,3.9166666666666665,0.2752696666666667,4.0,1.0,0.0,0.02971233333333333,0.17317799999999997,2.0,5710510.0,384512147.62055665,100.0
SlimFly,slimfly_13,13,hotregion_500,3380.0,338.0,29.0,13182.0,3.9293333333333336,0.26395033333333334,4.0,1.0,0.0,0.14904166666666666,0.39132266666666665,3.3333333333333335,3489756.111111333,76652735.627944,100.0
SlimFly,slimfly_13,13,onetoall,3380.0,338.0,29.0,13182.0,3.9372780000000005,0.260161,4.0,0.999704,0.017201,1.009558,30.228731999999997,3379.0,3380.0,11316233.904418,100.0
SlimFly,slimfly_13,13,random_10000,3380.0,338.0,29.0,13182.0,3.9374333333333333,0.263889,4.0,0.9995666666666666,0.020362666666666668,2.986977,1.7455536666666667,12.0,966394.0,3824736.7406770005,100.0
SlimFly,slimfly_13,13,random_100000,3380.0,338.0,29.0,13182.0,3.937773333333334,0.259809,4.0,0.9997000000000001,0.017288666666666664,29.87235133333333,5.926898666666666,55.0,207700.68839166666,382440.607598,100.0
SlimFly,slimfly_13,13,random_5000,3380.0,338.0,29.0,13182.0,3.9388,0.261901,4.0,0.9995333333333334,0.020805333333333332,1.4940069999999999,1.2357516666666666,8.333333333333334,1374752.4074073334,7646821.212508333,100.0
SlimFly,slimfly_13,13,random_50000,3380.0,338.0,29.0,13182.0,3.9381800000000005,0.260038,4.0,0.99966,0.018414666666666666,14.937717999999998,4.0174330000000005,33.333333333333336,342910.5269606667,764802.2478046668,100.0
SlimFly,slimfly_13,13,shift_1,3380.0,338.0,29.0,13182.0,2.153846,0.4877909999999999,4.0,1.0,0.0,0.552268,0.497279,1.0,11421020.0,20686324.285714,100.0
SlimFly,slimfly_13,13,shift_10,3380.0,338.0,29.0,13182.0,3.5384620000000004,0.498592,4.0,1.0,0.0,0.907298,1.906484,10.0,1142102.0,12591675.652174002,100.0
SlimFly,slimfly_13,13,shift_100,3380.0,338.0,29.0,13182.0,3.884615,0.319533,4.0,1.0,0.0,0.996055,2.143862,20.0,571051.0,11469645.148515,100.0
SlimFly,slimfly_17,17,alltoone,7514.0,578.0,38.0,29478.0,3.953021,0.222642,4.0,0.999867,0.011536,1.007633,44.663068,7513.0,7514.0,56032510.44298599,100.0
SlimFly,slimfly_17,17,hotregion_10,7514.0,578.0,38.0,29478.0,4.0,0.0,4.0,1.0,0.0,0.001357,0.036812,1.0,56452682.0,41608341442.200005,100.0
SlimFly,slimfly_17,17,hotregion_100,7514.0,578.0,38.0,29478.0,3.973333333333333,0.12646266666666667,4.0,1.0,0.0,0.013479,0.11619033333333334,1.6666666666666667,37635121.333333336,4188924701.154509,100.0
SlimFly,slimfly_17,17,hotregion_500,7514.0,578.0,38.0,29478.0,3.9619999999999997,0.19415366666666667,4.0,1.0,0.0,0.06720266666666667,0.26116333333333336,3.3333333333333335,17249430.61111133,840158663.8923106,100.0
SlimFly,slimfly_17,17,onetoall,7514.0,578.0,38.0,29478.0,3.953021,0.222642,4.0,0.999867,0.011536,1.007633,44.663709000000004,7513.0,7514.0,56032510.44298599,100.0
SlimFly,slimfly_17,17,random_10000,7514.0,578.0,38.0,29478.0,3.9522999999999997,0.227629,4.0,0.9996333333333333,0.018649666666666665,1.3407626666666665,1.1613843333333334,8.333333333333334,6795230.240740667,42110534.20334666,100.0
SlimFly,slimfly_17,17,random_100000,7514.0,578.0,38.0,29478.0,3.9532666666666665,0.222332,4.0,0.9998533333333333,0.011906,13.410905333333332,3.8432096666666666,31.333333333333332,1804499.2193550002,4210021.713095,100.0
