#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p3_a6_h3_min_sequential_fr0.00_seed13.2026.03.25.18.37_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
      nan       nan     nan       nan       nan     nan      1146         1 0.00222 
      nan       nan     nan       nan       nan     nan      1147         3 0.00667 
      nan       nan     nan       nan       nan     nan      1148         1 0.00222 
      nan       nan     nan       nan       nan     nan      1149         1 0.00222 
      nan       nan     nan       nan       nan     nan      1150         1 0.00222 
      nan       nan     nan       nan       nan     nan      1152         1 0.00222 
      nan       nan     nan       nan       nan     nan      1154         1 0.00222 
      nan       nan     nan       nan       nan     nan      1155         1 0.00222 
      nan       nan     nan       nan       nan     nan      1157         2 0.00444 
      nan       nan     nan       nan       nan     nan      1158         1 0.00222 
      nan       nan     nan       nan       nan     nan      1159         1 0.00222 
      nan       nan     nan       nan       nan     nan      1164         2 0.00444 
      nan       nan     nan       nan       nan     nan      1165         3 0.00667 
      nan       nan     nan       nan       nan     nan      1166         2 0.00444 
      nan       nan     nan       nan       nan     nan      1170         1 0.00222 
      nan       nan     nan       nan       nan     nan      1172         1 0.00222 
      nan       nan     nan       nan       nan     nan      1174         1 0.00222 
      nan       nan     nan       nan       nan     nan      1175         1 0.00222 
      nan       nan     nan       nan       nan     nan      1178         1 0.00222 
      nan       nan     nan       nan       nan     nan      1180         2 0.00444 
      nan       nan     nan       nan       nan     nan      1182         1 0.00222 
      nan       nan     nan       nan       nan     nan      1187         1 0.00222 
      nan       nan     nan       nan       nan     nan      1190         1 0.00222 
      nan       nan     nan       nan       nan     nan      1192         1 0.00222 
      nan       nan     nan       nan       nan     nan      1196         1 0.00222 
      nan       nan     nan       nan       nan     nan      1198         1 0.00222 
      nan       nan     nan       nan       nan     nan      1199         2 0.00444 
      nan       nan     nan       nan       nan     nan      1203         1 0.00222 
      nan       nan     nan       nan       nan     nan      1206         1 0.00222 
      nan       nan     nan       nan       nan     nan      1207         1 0.00222 
      nan       nan     nan       nan       nan     nan      1215         1 0.00222 
      nan       nan     nan       nan       nan     nan      1223         1 0.00222 
      nan       nan     nan       nan       nan     nan      1227         1 0.00222 
      nan       nan     nan       nan       nan     nan      1229         3 0.00667 
      nan       nan     nan       nan       nan     nan      1233         1 0.00222 
      nan       nan     nan       nan       nan     nan      1245         2 0.00444 
      nan       nan     nan       nan       nan     nan      1252         1 0.00222 
      nan       nan     nan       nan       nan     nan      1259         1 0.00222 
      nan       nan     nan       nan       nan     nan      1262         1 0.00222 
      nan       nan     nan       nan       nan     nan      1272         1 0.00222 
      nan       nan     nan       nan       nan     nan      1279         1 0.00222 
      nan       nan     nan       nan       nan     nan      1282         1 0.00222 
      nan       nan     nan       nan       nan     nan      1289         1 0.00222 
      nan       nan     nan       nan       nan     nan      1306         1 0.00222 
      nan       nan     nan       nan       nan     nan      1314         1 0.00222 
