#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./dragonfly-cir_p6_a6_h5_min_sequential_fr0.00_seed13.2026.03.27.11.20_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
      nan       nan     nan       nan       nan     nan       203         1 0.00024 
      nan       nan     nan       nan       nan     nan       204         5 0.00122 
      nan       nan     nan       nan       nan     nan       205         2 0.00049 
      nan       nan     nan       nan       nan     nan       206         2 0.00049 
      nan       nan     nan       nan       nan     nan       207         1 0.00024 
      nan       nan     nan       nan       nan     nan       208         3 0.00073 
      nan       nan     nan       nan       nan     nan       209         2 0.00049 
      nan       nan     nan       nan       nan     nan       212         2 0.00049 
      nan       nan     nan       nan       nan     nan       213         1 0.00024 
      nan       nan     nan       nan       nan     nan       215         1 0.00024 
      nan       nan     nan       nan       nan     nan       219         1 0.00024 
